Egg Number,Width,Height,Egg Shape Index,Sphericity,Eccentricity,Sex
202,947,720,0.7602956705,0.5859847163,0.6495771651,0
203,1060,773,0.729245283,0.5170822413,0.6842523783,0
204,1081,742,0.6864014801,0.4311946568,0.727222805,0
205,1042,765,0.7341650672,0.5276183424,0.678971026,0
206,1032,767,0.7432170543,0.5473759811,0.6690503795,0
207,1075,783,0.728372093,0.5152270193,0.6851817964,0
208,1037,749,0.7222757956,0.5023980216,0.691605144,0
209,972,728,0.7489711934,0.5601883591,0.6626025592,0
210,993,740,0.7452165156,0.5518056594,0.6668225738,0
211,1096,789,0.7198905109,0.497436998,0.6940876402,0
212,1039,762,0.7333974976,0.525965197,0.6798000519,0
213,1019,753,0.7389597645,0.5380233363,0.6737495577,0
214,1017,775,0.7620452311,0.5900393628,0.6475237955,0
215,1040,768,0.7384615385,0.5369358216,0.6742956,0
216,934,726,0.7773019272,0.6261926562,0.6291277406,1
217,1043,788,0.7555129434,0.5749955238,0.6551337209,0
218,980,771,0.7867346939,0.6492674693,0.6172912776,1
219,1051,766,0.728829686,0.5161986892,0.6846950334,0
220,982,747,0.7606924644,0.5869026611,0.6491124515,0
221,1073,757,0.7054986021,0.468195472,0.7087113111,0
222,953,751,0.7880377754,0.6524989929,0.6156268874,1
223,1040,771,0.7413461538,0.5432526492,0.6711228503,0
224,1047,749,0.7153772684,0.4881397166,0.6987384088,0
225,1020,770,0.7549019608,0.5736016565,0.6558376549,0
226,993,750,0.7552870091,0.5744798248,0.6553941821,0
227,1086,788,0.7255985267,0.5093636082,0.6881182878,0
228,1023,757,0.7399804497,0.5402558447,0.6726283774,0
229,1001,716,0.7152847153,0.4879502795,0.6988331532,0
230,961,748,0.7783558793,0.6287432957,0.6278233232,1
231,1041,764,0.7339097022,0.5270679687,0.6792470456,0
232,965,727,0.7533678756,0.5701117989,0.6575993035,0
233,1015,764,0.7527093596,0.5686181075,0.65835296,0
234,975,763,0.7825641026,0.6389965353,0.6225700164,1
235,1121,795,0.7091882248,0.4755796739,0.7050191925,0
236,1061,765,0.7210179076,0.4997777187,0.6929164285,0
237,1031,771,0.7478176528,0.5576039928,0.6639041785,0
238,1021,763,0.7473065622,0.5564615027,0.6644794219,0
239,1078,758,0.7031539889,0.4635430468,0.7110375995,0
240,1038,753,0.725433526,0.5090162003,0.688292234,0
241,1042,773,0.7418426104,0.5443447786,0.6705740388,0
242,938,775,0.8262260128,0.7520302825,0.5633387753,1
243,1080,810,0.75,0.5625,0.6614378278,0
244,1053,763,0.7245963913,0.5072560516,0.6891734686,0
245,1034,794,0.7678916828,0.6037242597,0.6405797089,1
246,1003,771,0.7686939182,0.6056184142,0.6396168072,1
247,1087,788,0.7249310028,0.5079591138,0.6888214872,0
248,1000,784,0.784,0.6425204053,0.6207608235,1
249,998,759,0.7605210421,0.5865059745,0.6493132869,0
250,952,693,0.7279411765,0.5143131106,0.6856395872,0
251,1068,717,0.6713483146,0.4034432424,0.741141984,0
252,1003,731,0.7288135593,0.5161644245,0.6847121992,0
253,1072,783,0.7304104478,0.5195647358,0.6830084756,0
254,960,752,0.7833333333,0.640882716,0.6216018733,1
255,1055,758,0.7184834123,0.4945258233,0.6955440937,0
256,997,768,0.7703109328,0.6094483727,0.6376684615,1
257,966,774,0.801242236,0.6858517315,0.5983401033,1
258,976,774,0.7930327869,0.6649854847,0.6091789548,1
259,989,733,0.7411526795,0.5428274307,0.6713365071,0
260,1031,740,0.7177497575,0.4930124651,0.6963011458,0
261,1052,756,0.7186311787,0.4948310049,0.6953914214,0
262,941,756,0.8034006376,0.6914093573,0.5954388428,1
263,1105,782,0.7076923077,0.4725765438,0.7065207694,0
264,983,727,0.7395727365,0.539363329,0.673076643,0
265,966,755,0.781573499,0.6365729971,0.6238131657,1
266,959,765,0.7977059437,0.676810707,0.6030466212,1
267,1100,756,0.6872727273,0.4328386837,0.7263994757,0
268,1047,781,0.7459407832,0.5534161047,0.6660122731,0
269,982,758,0.7718940937,0.6132137581,0.6357511369,1
270,946,716,0.7568710359,0.5781018968,0.6535642546,0
271,1042,728,0.6986564299,0.4547049873,0.7154573313,0
272,994,738,0.7424547284,0.5456933595,0.669896243,0
273,995,747,0.7507537688,0.564197685,0.6605821513,0
274,1025,732,0.7141463415,0.4856242703,0.6999964307,0
275,999,758,0.7587587588,0.5824382507,0.6513717418,0
276,971,763,0.7857878476,0.6469260818,0.6184961266,1
277,1024,793,0.7744140625,0.6192391825,0.6326791128,1
278,956,757,0.7918410042,0.6619919347,0.6107272911,1
279,1104,783,0.7092391304,0.4756820928,0.7049679822,0
280,1016,724,0.7125984252,0.4824733298,0.701572152,0
281,1027,737,0.717624148,0.4927536721,0.6964306011,0
282,1037,735,0.7087753134,0.4747494658,0.7054343025,0
283,1031,763,0.7400581959,0.540426149,0.6725428363,0
284,1016,741,0.7293307087,0.5172639795,0.6841613241,0
285,1010,759,0.7514851485,0.5658482055,0.6597500069,0
286,937,725,0.7737459979,0.6176379654,0.6334959596,1
287,1000,757,0.757,0.5783974573,0.6534148759,0
288,955,716,0.7497382199,0.5619112003,0.6617345402,0
289,1017,742,0.7295968535,0.5178304607,0.6838774973,0
290,975,770,0.7897435897,0.6567454385,0.6134370892,1
291,1048,741,0.7070610687,0.4713131017,0.7071524907,0
292,987,749,0.7588652482,0.5826835154,0.6512476756,0
293,1009,744,0.7373637265,0.5345447205,0.6754959178,0
294,954,740,0.7756813417,0.6222841963,0.6311247548,1
295,1006,766,0.7614314115,0.5886146992,0.6482454825,0
296,989,707,0.7148634985,0.4870887547,0.6992640263,0
297,1040,776,0.7461538462,0.5538904567,0.6657735635,0
298,1005,757,0.7532338308,0.5698075375,0.6577528381,0
299,1123,778,0.6927871772,0.4433413698,0.7211420991,0
300,1053,782,0.742640076,0.5461021448,0.6696907626,0
301,1007,767,0.7616683217,0.5891642913,0.6479671038,0
302,1035,763,0.7371980676,0.5341845231,0.6756767046,0
303,1051,777,0.7392959087,0.5387578919,0.6733806943,0
304,968,748,0.7727272727,0.6152016028,0.6347381838,1
305,1044,755,0.7231800766,0.5042873749,0.690659523,0
306,945,727,0.7693121693,0.6070808642,0.6388730595,1
307,1074,778,0.7243947858,0.5068327658,0.6893853743,0
308,1102,783,0.7105263158,0.4782767167,0.7036706293,0
309,1040,750,0.7211538462,0.5000604518,0.6927749492,0
310,962,708,0.735966736,0.5315122686,0.6770176981,0
311,1072,755,0.7042910448,0.465795443,0.7099113496,0
312,1056,743,0.7035984848,0.4644226832,0.7105977569,0
313,1067,783,0.7338331771,0.5269031131,0.6793297198,0
314,959,718,0.7486965589,0.5595723515,0.662912862,0
315,1096,776,0.7080291971,0.4732517602,0.7061831604,0
316,1025,757,0.7385365854,0.5370995382,0.6742134025,0
317,1019,761,0.7468105986,0.5553543205,0.6650367883,0
