Egg Number,Width ,Height,Width conversion,Height Conversion,Eccentricity,Sex
281,1027,737,513.5,368.5,0.6964306011,0
282,1037,735,518.5,367.5,0.7054343025,0
283,1031,763,515.5,381.5,0.6725428363,0
284,1016,741,508,370.5,0.6841613241,0
285,1010,759,505,379.5,0.6597500069,0
286,937,725,468.5,362.5,0.6334959596,1
287,1000,757,500,378.5,0.6534148759,0
288,955,716,477.5,358,0.6617345402,0
289,1017,742,508.5,371,0.6838774973,0
290,975,770,487.5,385,0.6134370892,1
291,1048,741,524,370.5,0.7071524907,0
292,987,749,493.5,374.5,0.6512476756,0
293,1009,744,504.5,372,0.6754959178,0
294,954,740,477,370,0.6311247548,1
295,1006,766,503,383,0.6482454825,0
296,989,707,494.5,353.5,0.6992640263,0
297,1040,776,520,388,0.6657735635,0
298,1005,757,502.5,378.5,0.6577528381,0
299,1123,778,561.5,389,0.7211420991,0
300,1053,782,526.5,391,0.6696907626,0
301,1007,767,503.5,383.5,0.6479671038,0
302,1035,763,517.5,381.5,0.6756767046,0
303,1051,777,525.5,388.5,0.6733806943,0
304,968,748,484,374,0.6347381838,1
305,1044,755,522,377.5,0.690659523,0
306,945,727,472.5,363.5,0.6388730595,1
307,1074,778,537,389,0.6893853743,0
308,1102,783,551,391.5,0.7036706293,0
309,1040,750,520,375,0.6927749492,0
310,962,708,481,354,0.6770176981,0
311,1072,755,536,377.5,0.7099113496,0
312,1056,743,528,371.5,0.7105977569,0
313,1067,783,533.5,391.5,0.6793297198,0
314,959,718,479.5,359,0.662912862,0
315,1096,776,548,388,0.7061831604,0
316,1025,757,512.5,378.5,0.6742134025,0
317,1019,761,509.5,380.5,0.6650367883,0
318,1020,752,510,376,0.6756146901,0
319,1087,791,543.5,395.5,0.6859052159,0
320,1023,733,511.5,366.5,0.6975665083,0
321,1032,743,516,371.5,0.694014274,0
322,925,720,462.5,360,0.6277954285,1
323,1073,761,536.5,380.5,0.7049807212,0
324,1025,772,512.5,386,0.6578250899,0
325,1020,759,510,379.5,0.6680485965,0
326,995,792,497.5,396,0.6053230539,1
327,1095,759,547.5,379.5,0.7207927081,0
328,969,740,484.5,370,0.6456021908,0
329,1060,772,530,386,0.6852564204,0
